Title,Authority,Year,Type,Link,Note
Spironolactone,NCBI PubChem,,Syllabus drug — Potassium-sparing diuretic,https://pubchem.ncbi.nlm.nih.gov/#query=Spironolactone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Mannitol,NCBI PubChem,,Syllabus drug — Osmotic diuretic,https://pubchem.ncbi.nlm.nih.gov/#query=Mannitol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Digoxin,NCBI PubChem,,Syllabus drug — Cardiac glycoside,https://pubchem.ncbi.nlm.nih.gov/#query=Digoxin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Nitroglycerin,NCBI PubChem,,Syllabus drug — Antianginal nitrate,https://pubchem.ncbi.nlm.nih.gov/#query=Nitroglycerin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Isosorbide dinitrate,NCBI PubChem,,Syllabus drug — Antianginal nitrate,https://pubchem.ncbi.nlm.nih.gov/#query=Isosorbide%20dinitrate,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Amiodarone,NCBI PubChem,,Syllabus drug — Antiarrhythmic,https://pubchem.ncbi.nlm.nih.gov/#query=Amiodarone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Lidocaine,NCBI PubChem,,Syllabus drug — Local anesthetic / antiarrhythmic,https://pubchem.ncbi.nlm.nih.gov/#query=Lidocaine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Atorvastatin,NCBI PubChem,,Syllabus drug — Statin,https://pubchem.ncbi.nlm.nih.gov/#query=Atorvastatin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Rosuvastatin,NCBI PubChem,,Syllabus drug — Statin,https://pubchem.ncbi.nlm.nih.gov/#query=Rosuvastatin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Simvastatin,NCBI PubChem,,Syllabus drug — Statin,https://pubchem.ncbi.nlm.nih.gov/#query=Simvastatin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Warfarin,NCBI PubChem,,Syllabus drug — Anticoagulant,https://pubchem.ncbi.nlm.nih.gov/#query=Warfarin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Heparin,NCBI PubChem,,Syllabus drug — Anticoagulant,https://pubchem.ncbi.nlm.nih.gov/#query=Heparin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Clopidogrel,NCBI PubChem,,Syllabus drug — Antiplatelet,https://pubchem.ncbi.nlm.nih.gov/#query=Clopidogrel,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Enoxaparin,NCBI PubChem,,Syllabus drug — LMWH anticoagulant,https://pubchem.ncbi.nlm.nih.gov/#query=Enoxaparin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Omeprazole,NCBI PubChem,,Syllabus drug — Proton-pump inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Omeprazole,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Pantoprazole,NCBI PubChem,,Syllabus drug — Proton-pump inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Pantoprazole,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Famotidine,NCBI PubChem,,Syllabus drug — H2 blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Famotidine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Metoclopramide,NCBI PubChem,,Syllabus drug — Antiemetic / prokinetic,https://pubchem.ncbi.nlm.nih.gov/#query=Metoclopramide,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ondansetron,NCBI PubChem,,Syllabus drug — 5-HT3 antagonist,https://pubchem.ncbi.nlm.nih.gov/#query=Ondansetron,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Domperidone,NCBI PubChem,,Syllabus drug — Prokinetic / antiemetic,https://pubchem.ncbi.nlm.nih.gov/#query=Domperidone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Loperamide,NCBI PubChem,,Syllabus drug — Antidiarrheal,https://pubchem.ncbi.nlm.nih.gov/#query=Loperamide,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Lactulose,NCBI PubChem,,Syllabus drug — Osmotic laxative,https://pubchem.ncbi.nlm.nih.gov/#query=Lactulose,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Bisacodyl,NCBI PubChem,,Syllabus drug — Stimulant laxative,https://pubchem.ncbi.nlm.nih.gov/#query=Bisacodyl,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Mesalamine,NCBI PubChem,,Syllabus drug — 5-ASA anti-inflammatory,https://pubchem.ncbi.nlm.nih.gov/#query=Mesalamine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Prednisolone,NCBI PubChem,,Syllabus drug — Glucocorticoid,https://pubchem.ncbi.nlm.nih.gov/#query=Prednisolone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Hydrocortisone,NCBI PubChem,,Syllabus drug — Glucocorticoid,https://pubchem.ncbi.nlm.nih.gov/#query=Hydrocortisone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Dexamethasone,NCBI PubChem,,Syllabus drug — Glucocorticoid,https://pubchem.ncbi.nlm.nih.gov/#query=Dexamethasone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Budesonide,NCBI PubChem,,Syllabus drug — Glucocorticoid,https://pubchem.ncbi.nlm.nih.gov/#query=Budesonide,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Insulin,NCBI PubChem,,Syllabus drug — Antidiabetic hormone,https://pubchem.ncbi.nlm.nih.gov/#query=Insulin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Metformin,NCBI PubChem,,Syllabus drug — Biguanide antidiabetic,https://pubchem.ncbi.nlm.nih.gov/#query=Metformin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Glimepiride,NCBI PubChem,,Syllabus drug — Sulfonylurea,https://pubchem.ncbi.nlm.nih.gov/#query=Glimepiride,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Glibenclamide,NCBI PubChem,,Syllabus drug — Sulfonylurea,https://pubchem.ncbi.nlm.nih.gov/#query=Glibenclamide,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Sitagliptin,NCBI PubChem,,Syllabus drug — DPP-4 inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Sitagliptin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Empagliflozin,NCBI PubChem,,Syllabus drug — SGLT2 inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Empagliflozin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Pioglitazone,NCBI PubChem,,Syllabus drug — Thiazolidinedione,https://pubchem.ncbi.nlm.nih.gov/#query=Pioglitazone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Levothyroxine,NCBI PubChem,,Syllabus drug — Thyroid hormone,https://pubchem.ncbi.nlm.nih.gov/#query=Levothyroxine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Carbimazole,NCBI PubChem,,Syllabus drug — Antithyroid drug,https://pubchem.ncbi.nlm.nih.gov/#query=Carbimazole,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Propylthiouracil,NCBI PubChem,,Syllabus drug — Antithyroid drug,https://pubchem.ncbi.nlm.nih.gov/#query=Propylthiouracil,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Hydroxychloroquine,NCBI PubChem,,Syllabus drug — Antimalarial / DMARD,https://pubchem.ncbi.nlm.nih.gov/#query=Hydroxychloroquine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Chloroquine,NCBI PubChem,,Syllabus drug — Antimalarial,https://pubchem.ncbi.nlm.nih.gov/#query=Chloroquine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Artemether,NCBI PubChem,,Syllabus drug — Antimalarial,https://pubchem.ncbi.nlm.nih.gov/#query=Artemether,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Lumefantrine,NCBI PubChem,,Syllabus drug — Antimalarial,https://pubchem.ncbi.nlm.nih.gov/#query=Lumefantrine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Primaquine,NCBI PubChem,,Syllabus drug — Antimalarial,https://pubchem.ncbi.nlm.nih.gov/#query=Primaquine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Artemisinin,NCBI PubChem,,Syllabus drug — Antimalarial,https://pubchem.ncbi.nlm.nih.gov/#query=Artemisinin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Albendazole,NCBI PubChem,,Syllabus drug — Anthelmintic,https://pubchem.ncbi.nlm.nih.gov/#query=Albendazole,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Mebendazole,NCBI PubChem,,Syllabus drug — Anthelmintic,https://pubchem.ncbi.nlm.nih.gov/#query=Mebendazole,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ivermectin,NCBI PubChem,,Syllabus drug — Antiparasitic,https://pubchem.ncbi.nlm.nih.gov/#query=Ivermectin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Praziquantel,NCBI PubChem,,Syllabus drug — Anthelmintic,https://pubchem.ncbi.nlm.nih.gov/#query=Praziquantel,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Penicillin G,NCBI PubChem,,Syllabus drug — ?-lactam antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Penicillin%20G,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Amoxicillin,NCBI PubChem,,Syllabus drug — ?-lactam antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Amoxicillin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ampicillin,NCBI PubChem,,Syllabus drug — ?-lactam antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Ampicillin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Cloxacillin,NCBI PubChem,,Syllabus drug — ?-lactam antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Cloxacillin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Cephalexin,NCBI PubChem,,Syllabus drug — Cephalosporin,https://pubchem.ncbi.nlm.nih.gov/#query=Cephalexin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ceftriaxone,NCBI PubChem,,Syllabus drug — Cephalosporin,https://pubchem.ncbi.nlm.nih.gov/#query=Ceftriaxone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Cefotaxime,NCBI PubChem,,Syllabus drug — Cephalosporin,https://pubchem.ncbi.nlm.nih.gov/#query=Cefotaxime,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Cefixime,NCBI PubChem,,Syllabus drug — Cephalosporin,https://pubchem.ncbi.nlm.nih.gov/#query=Cefixime,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Azithromycin,NCBI PubChem,,Syllabus drug — Macrolide antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Azithromycin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Erythromycin,NCBI PubChem,,Syllabus drug — Macrolide antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Erythromycin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Clarithromycin,NCBI PubChem,,Syllabus drug — Macrolide antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Clarithromycin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Doxycycline,NCBI PubChem,,Syllabus drug — Tetracycline antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Doxycycline,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Tetracycline,NCBI PubChem,,Syllabus drug — Tetracycline antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Tetracycline,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Gentamicin,NCBI PubChem,,Syllabus drug — Aminoglycoside antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Gentamicin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Amikacin,NCBI PubChem,,Syllabus drug — Aminoglycoside antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Amikacin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Streptomycin,NCBI PubChem,,Syllabus drug — Aminoglycoside antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Streptomycin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ciprofloxacin,NCBI PubChem,,Syllabus drug — Fluoroquinolone,https://pubchem.ncbi.nlm.nih.gov/#query=Ciprofloxacin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Levofloxacin,NCBI PubChem,,Syllabus drug — Fluoroquinolone,https://pubchem.ncbi.nlm.nih.gov/#query=Levofloxacin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ofloxacin,NCBI PubChem,,Syllabus drug — Fluoroquinolone,https://pubchem.ncbi.nlm.nih.gov/#query=Ofloxacin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Metronidazole,NCBI PubChem,,Syllabus drug — Nitroimidazole antimicrobial,https://pubchem.ncbi.nlm.nih.gov/#query=Metronidazole,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Linezolid,NCBI PubChem,,Syllabus drug — Oxazolidinone antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Linezolid,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Vancomycin,NCBI PubChem,,Syllabus drug — Glycopeptide antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Vancomycin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Rifampicin,NCBI PubChem,,Syllabus drug — Antitubercular,https://pubchem.ncbi.nlm.nih.gov/#query=Rifampicin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Isoniazid,NCBI PubChem,,Syllabus drug — Antitubercular,https://pubchem.ncbi.nlm.nih.gov/#query=Isoniazid,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Pyrazinamide,NCBI PubChem,,Syllabus drug — Antitubercular,https://pubchem.ncbi.nlm.nih.gov/#query=Pyrazinamide,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ethambutol,NCBI PubChem,,Syllabus drug — Antitubercular,https://pubchem.ncbi.nlm.nih.gov/#query=Ethambutol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Rifabutin,NCBI PubChem,,Syllabus drug — Antitubercular,https://pubchem.ncbi.nlm.nih.gov/#query=Rifabutin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Acyclovir,NCBI PubChem,,Syllabus drug — Antiviral,https://pubchem.ncbi.nlm.nih.gov/#query=Acyclovir,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Valacyclovir,NCBI PubChem,,Syllabus drug — Antiviral,https://pubchem.ncbi.nlm.nih.gov/#query=Valacyclovir,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Oseltamivir,NCBI PubChem,,Syllabus drug — Antiviral,https://pubchem.ncbi.nlm.nih.gov/#query=Oseltamivir,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Remdesivir,NCBI PubChem,,Syllabus drug — Antiviral,https://pubchem.ncbi.nlm.nih.gov/#query=Remdesivir,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ribavirin,NCBI PubChem,,Syllabus drug — Antiviral,https://pubchem.ncbi.nlm.nih.gov/#query=Ribavirin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Fluconazole,NCBI PubChem,,Syllabus drug — Antifungal,https://pubchem.ncbi.nlm.nih.gov/#query=Fluconazole,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ketoconazole,NCBI PubChem,,Syllabus drug — Antifungal,https://pubchem.ncbi.nlm.nih.gov/#query=Ketoconazole,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Amphotericin B,NCBI PubChem,,Syllabus drug — Antifungal,https://pubchem.ncbi.nlm.nih.gov/#query=Amphotericin%20B,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Terbinafine,NCBI PubChem,,Syllabus drug — Antifungal,https://pubchem.ncbi.nlm.nih.gov/#query=Terbinafine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Clotrimazole,NCBI PubChem,,Syllabus drug — Antifungal,https://pubchem.ncbi.nlm.nih.gov/#query=Clotrimazole,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Methotrexate,NCBI PubChem,,Syllabus drug — Anticancer / DMARD,https://pubchem.ncbi.nlm.nih.gov/#query=Methotrexate,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
5-Fluorouracil,NCBI PubChem,,Syllabus drug — Antimetabolite anticancer,https://pubchem.ncbi.nlm.nih.gov/#query=5-Fluorouracil,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Vincristine,NCBI PubChem,,Syllabus drug — Vinca alkaloid,https://pubchem.ncbi.nlm.nih.gov/#query=Vincristine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Vinblastine,NCBI PubChem,,Syllabus drug — Vinca alkaloid,https://pubchem.ncbi.nlm.nih.gov/#query=Vinblastine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Cyclophosphamide,NCBI PubChem,,Syllabus drug — Alkylating anticancer,https://pubchem.ncbi.nlm.nih.gov/#query=Cyclophosphamide,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Cisplatin,NCBI PubChem,,Syllabus drug — Platinum anticancer,https://pubchem.ncbi.nlm.nih.gov/#query=Cisplatin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Doxorubicin,NCBI PubChem,,Syllabus drug — Anthracycline anticancer,https://pubchem.ncbi.nlm.nih.gov/#query=Doxorubicin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Tamoxifen,NCBI PubChem,,Syllabus drug — SERM,https://pubchem.ncbi.nlm.nih.gov/#query=Tamoxifen,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Anastrozole,NCBI PubChem,,Syllabus drug — Aromatase inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Anastrozole,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Diazepam,NCBI PubChem,,Syllabus drug — Benzodiazepine,https://pubchem.ncbi.nlm.nih.gov/#query=Diazepam,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Lorazepam,NCBI PubChem,,Syllabus drug — Benzodiazepine,https://pubchem.ncbi.nlm.nih.gov/#query=Lorazepam,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Alprazolam,NCBI PubChem,,Syllabus drug — Benzodiazepine,https://pubchem.ncbi.nlm.nih.gov/#query=Alprazolam,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Midazolam,NCBI PubChem,,Syllabus drug — Benzodiazepine,https://pubchem.ncbi.nlm.nih.gov/#query=Midazolam,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Phenytoin,NCBI PubChem,,Syllabus drug — Antiepileptic,https://pubchem.ncbi.nlm.nih.gov/#query=Phenytoin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Carbamazepine,NCBI PubChem,,Syllabus drug — Antiepileptic,https://pubchem.ncbi.nlm.nih.gov/#query=Carbamazepine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Sodium valproate,NCBI PubChem,,Syllabus drug — Antiepileptic,https://pubchem.ncbi.nlm.nih.gov/#query=Sodium%20valproate,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Levetiracetam,NCBI PubChem,,Syllabus drug — Antiepileptic,https://pubchem.ncbi.nlm.nih.gov/#query=Levetiracetam,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Phenobarbital,NCBI PubChem,,Syllabus drug — Barbiturate antiepileptic,https://pubchem.ncbi.nlm.nih.gov/#query=Phenobarbital,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Fluoxetine,NCBI PubChem,,Syllabus drug — SSRI,https://pubchem.ncbi.nlm.nih.gov/#query=Fluoxetine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Sertraline,NCBI PubChem,,Syllabus drug — SSRI,https://pubchem.ncbi.nlm.nih.gov/#query=Sertraline,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
